time,in or out
8:12:20,Out
8:12:21,Out
8:12:23,In
8:12:25,Out
8:12:25,In
8:12:36,Out
8:12:37,Out
8:12:37,Out
8:12:37,In
8:12:38,Out
8:12:39,Out
8:12:39,In
8:12:40,In
8:12:48,In
8:12:50,Out
8:12:54,In
8:12:54,In
8:12:58,Out
8:12:59,Out
8:13:27,Out
8:13:28,In
8:13:35,Out
8:13:39,In
8:13:44,Out
8:13:44,Out
8:13:45,Out
8:13:46,In
8:13:47,Out
8:13:47,Out
8:13:47,Out
8:13:48,Out
8:13:49,Out
8:13:55,Out
8:13:57,In
8:14:07,In
8:14:07,In
8:14:26,In
8:15:04,In
8:15:05,Out
8:15:06,Out
8:15:06,Out
8:15:19,In
8:15:19,In
8:15:24,In
8:15:31,Out
8:15:54,In
8:16:18,Out
8:16:26,Out
8:16:26,Out
8:16:35,In
8:16:35,In
8:16:35,In
8:16:36,In
8:16:36,Out
8:16:36,In
8:16:37,In
8:16:37,In
8:16:38,In
8:16:38,In
8:16:39,In
8:16:54,In
8:17:01,In
8:17:15,In
8:17:25,Out
8:17:26,In
8:17:28,In
8:17:35,Out
8:17:35,Out
8:17:36,Out
8:17:36,In
8:17:38,In
8:17:50,Out
8:18:00,Out
8:18:01,In
8:18:02,In
8:18:07,In
8:18:10,In
8:18:10,Out
8:18:12,Out
8:18:12,In
8:18:13,In
8:18:16,In
8:18:27,Out
8:18:28,Out
8:18:29,Out
8:18:29,Out
8:18:30,Out
8:18:30,Out
8:18:30,In
8:18:31,Out
8:18:39,Out
8:18:51,Out
8:18:51,Out
8:18:52,Out
8:18:53,Out
8:18:53,Out
8:18:53,Out
8:19:05,Out
8:19:05,Out
8:19:06,In
8:19:06,In
8:19:21,In
8:19:22,Out
8:19:23,In
8:19:27,Out
8:19:27,In
8:19:33,Out
8:19:34,In
8:19:35,In
8:19:35,In
8:19:39,Out
8:19:39,Out
8:19:39,Out
8:19:39,Out
8:19:40,In
8:19:40,Out
8:19:41,In
8:19:42,In
8:19:44,In
8:19:55,Out
8:19:55,Out
8:19:56,In
8:19:56,In
8:19:57,Out
8:19:58,In
8:19:59,In
8:20:00,Out
8:20:00,In
8:20:19,Out
8:20:30,In
8:20:31,In
8:20:31,Out
8:20:32,In
8:20:33,In
8:20:33,In
8:20:41,In
8:20:54,Out
8:20:56,In
8:21:19,Out
8:21:24,Out
8:21:24,In
8:21:27,Out
8:21:28,In
8:21:29,In
8:21:29,In
8:21:29,Out
8:21:29,In
8:21:29,Out
8:21:29,In
8:21:29,Out
8:21:30,In
8:21:30,In
8:21:31,In
8:21:31,In
8:21:31,In
8:21:31,In
8:21:32,In
8:21:32,Out
8:21:33,In
8:21:36,Out
8:21:37,Out
8:21:42,Out
8:21:42,Out
8:21:42,Out
8:21:43,Out
8:21:43,In
8:21:43,Out
8:21:43,In
8:21:44,In
8:21:44,Out
8:21:44,In
8:21:45,In
8:21:45,In
8:21:46,In
8:21:46,In
8:21:46,In
8:21:49,In
8:21:57,Out
8:22:03,In
8:22:10,In
8:22:16,Out
8:22:17,Out
8:22:28,Out
8:22:29,Out
8:22:29,Out
8:22:36,Out
8:22:37,In
8:22:37,Out
8:22:38,Out
8:22:40,Out
8:22:41,In
8:22:50,Out
8:22:52,Out
8:22:52,Out
8:22:59,In
8:23:03,Out
8:23:03,In
8:23:09,Out
8:23:10,Out
8:23:10,Out
8:23:11,Out
8:23:11,Out
8:23:20,Out
8:23:21,Out
8:23:24,Out
8:23:24,Out
8:23:25,Out
8:23:25,In
8:23:27,Out
8:23:27,Out
8:23:28,Out
8:23:30,In
8:23:30,Out
8:23:30,Out
8:23:31,Out
8:23:32,In
8:23:32,In
8:23:32,In
8:23:32,In
8:23:32,Out
8:23:33,Out
8:23:33,Out
8:23:33,In
8:23:34,In
8:23:34,Out
8:23:35,Out
8:23:41,In
8:23:43,In
8:23:46,Out
8:23:46,In
8:23:46,In
8:23:46,In
8:23:50,Out
8:23:55,Out
8:23:57,In
8:23:57,In
8:23:58,In
8:23:58,In
8:23:59,Out
8:24:01,Out
8:24:02,In
8:24:02,In
8:24:12,In
8:24:15,Out
8:24:17,In
8:24:24,Out
8:24:26,Out
8:24:28,In
8:24:28,In
8:24:29,In
8:24:31,Out
8:24:33,Out
8:24:38,In
8:24:41,Out
8:24:41,In
8:24:41,In
8:24:42,In
8:24:42,In
8:24:44,In
8:24:45,Out
8:24:47,In
8:24:47,In
8:24:48,Out
8:24:54,In
8:25:01,Out
8:25:10,Out
8:25:11,Out
8:25:12,Out
8:25:19,Out
8:25:19,Out
8:25:20,Out
8:25:21,In
8:25:22,In
8:25:22,In
8:25:28,Out
8:25:29,In
8:25:35,Out
8:25:42,Out
8:25:43,Out
8:25:43,Out
8:25:48,In
8:25:48,In
8:25:48,In
8:25:49,In
8:25:49,Out
8:25:49,Out
8:25:50,Out
8:25:50,In
8:25:57,Out
8:25:57,Out
8:25:57,Out
8:25:57,Out
8:25:58,Out
8:25:58,Out
8:26:07,Out
8:26:08,Out
8:26:09,In
8:26:10,In
8:26:11,In
8:26:12,In
8:26:15,Out
8:26:16,Out
8:26:17,Out
8:26:18,Out
8:26:21,Out
8:26:22,In
8:26:22,Out
8:26:22,Out
8:26:23,Out
8:26:23,In
8:26:23,Out
8:26:23,In
8:26:23,Out
8:26:25,Out
8:26:26,Out
8:26:26,Out
8:26:28,In
8:26:30,In
8:26:30,Out
8:26:31,Out
8:26:31,In
8:26:31,In
8:26:34,In
8:26:36,Out
8:26:38,In
8:26:38,Out
8:26:39,Out
8:26:39,In
8:26:39,Out
8:26:40,Out
8:26:41,Out
8:26:41,Out
8:26:42,In
8:26:43,In
8:26:44,Out
8:26:45,Out
8:26:45,Out
8:26:46,In
8:26:46,In
8:26:46,In
8:26:46,In
8:26:46,Out
8:26:48,In
8:26:49,Out
8:26:49,Out
8:26:50,In
8:26:50,Out
8:26:51,Out
8:26:52,In
8:26:52,In
8:26:52,Out
8:26:53,Out
8:26:53,Out
8:26:58,Out
8:26:59,In
8:26:59,In
8:27:01,Out
8:27:04,Out
8:27:10,Out
8:27:10,In
8:27:11,Out
8:27:12,Out
8:27:14,In
8:27:18,In
8:27:22,Out
8:27:23,In
8:27:23,Out
8:27:23,In
8:27:24,In
8:27:27,Out
8:27:28,Out
8:27:29,In
8:27:29,In
8:27:29,In
8:27:30,In
8:27:31,Out
8:27:31,Out
