time,in or out
8:10:23,In
8:10:23,Out
8:10:23,Out
8:10:23,Out
8:10:23,In
8:10:24,Out
8:10:25,Out
8:10:25,Out
8:10:27,Out
8:10:28,Out
8:10:28,Out
8:10:28,Out
8:10:28,Out
8:10:29,Out
8:10:29,In
8:10:29,Out
8:10:29,Out
8:10:29,In
8:10:30,In
8:10:30,In
8:10:30,Out
8:10:30,Out
8:10:30,Out
8:10:31,Out
8:10:32,Out
8:10:32,In
8:10:33,In
8:10:33,Out
8:10:33,In
8:10:33,Out
8:10:34,Out
8:10:34,Out
8:10:34,In
8:10:35,In
8:10:35,In
8:10:35,Out
8:10:35,Out
8:10:35,Out
8:10:35,Out
8:10:36,Out
8:10:36,Out
8:10:36,Out
8:10:37,Out
8:10:38,Out
8:10:38,Out
8:10:38,Out
8:10:42,In
8:10:42,Out
8:10:43,Out
8:10:43,Out
8:10:44,Out
8:10:44,Out
8:10:45,Out
8:10:46,Out
8:10:47,Out
8:10:47,Out
8:10:48,Out
8:10:48,Out
8:10:48,Out
8:10:49,Out
8:10:49,Out
8:10:50,Out
8:10:51,Out
8:10:51,Out
8:10:52,In
8:10:52,Out
8:10:52,Out
8:10:54,Out
8:10:57,Out
8:10:57,In
8:10:57,Out
8:10:57,Out
8:10:57,In
8:10:58,Out
8:10:58,Out
8:10:58,In
8:10:59,Out
8:10:59,Out
8:10:59,Out
8:10:59,In
8:10:59,Out
8:11:00,In
8:11:00,Out
8:11:00,Out
8:11:02,In
8:11:02,In
8:11:03,Out
8:11:03,Out
8:11:03,Out
8:11:03,Out
8:11:03,Out
8:11:04,Out
8:11:04,Out
8:11:05,Out
8:11:06,Out
8:11:06,Out
8:11:06,Out
8:11:06,In
8:11:06,Out
8:11:07,Out
8:11:07,Out
8:11:07,Out
8:11:07,In
8:11:07,In
8:11:08,Out
8:11:08,Out
8:11:08,Out
8:11:08,Out
8:11:08,In
8:11:08,Out
8:11:08,Out
8:11:09,In
8:11:09,Out
8:11:09,Out
8:11:09,Out
8:11:09,In
8:11:09,Out
8:11:09,Out
8:11:09,Out
8:11:10,Out
8:11:10,In
8:11:10,In
8:11:11,Out
8:11:12,Out
8:11:12,Out
8:11:12,Out
8:11:14,Out
8:11:14,Out
8:11:14,Out
8:11:15,Out
8:11:16,In
8:11:16,In
8:11:16,Out
8:11:16,Out
8:11:16,In
8:11:16,Out
8:11:17,Out
8:11:17,In
8:11:18,Out
8:11:19,Out
8:11:19,Out
8:11:19,Out
8:11:21,Out
8:11:22,Out
8:11:22,Out
8:11:23,Out
8:11:25,Out
8:11:26,In
8:11:27,In
8:11:27,Out
8:11:27,Out
8:11:27,Out
8:11:28,Out
8:11:28,Out
8:11:29,In
8:11:29,In
8:11:29,Out
8:11:30,Out
8:11:30,Out
8:11:30,Out
8:11:31,In
8:11:31,Out
8:11:31,In
8:11:32,Out
8:11:32,Out
8:11:32,Out
8:11:32,Out
8:11:33,Out
8:11:33,In
8:11:34,In
8:11:34,Out
